,city,destination,city_geo,destination_geo,2017_miles,2017_fare,2017_fare_low,carrier_low_2017,2017_cpm,passengers_2017,2016_miles,2016_fare,2016_fare_low,carrier_low_2016,2016_cpm,passengers_2016,cpm_change,fare_change
219,"Boston, MA (Metropolitan Area)","Portland, OR","['(42.358894', ' -71.056742)']","['(45.516018', ' -122.681425)']",2537,286.67,$251.41 ,B6,0.11299566417027987,725,2537,275.56,$239.35 ,B6,0.10861647615293654,714,0.04031789809841784,0.04031789809841781
220,"Cincinnati, OH","Orlando, FL","['(39.104427', ' -84.513808)']","['(28.538331', ' -81.378879)']",757,152.86,$85.96 ,F9,0.20192866578599739,755,757,153.74,$84.30 ,F9,0.20309114927344782,677,-0.005723949525172225,-0.005723949525172339
221,"Buffalo, NY","Miami, FL (Metropolitan Area)","['(39.945422', ' -78.64671)']","['(44.977479', ' -93.264346)']",1185,158.72,$141.95 ,B6,0.1339409282700422,668,1185,164.0,$154.41 ,B6,0.13839662447257384,482,-0.032195121951219464,-0.03219512195121952
222,"Austin, TX","Las Vegas, NV","['(30.264979', ' -97.746598)']","['(36.169202', ' -115.140597)']",1090,176.64,$93.64 ,G4,0.1620550458715596,979,1090,168.44,$84.56 ,G4,0.1545321100917431,970,0.048682023272381754,0.04868202327238179
223,"Las Vegas, NV","Los Angeles, CA (Metropolitan Area)","['(36.169202', ' -115.140597)']","['(34.052238', ' -118.243344)']",236,123.84,$99.60 ,B6,0.5247457627118645,6595,236,130.89,$98.11 ,B6,0.5546186440677966,6372,-0.05386202154480849,-0.05386202154480849
224,"New York City, NY (Metropolitan Area)","Tulsa, OK","['(40.123164', ' -75.333718)']","['(61.096484', ' -160.967455)']",1271,314.2,$252.46 ,WN,0.24720692368214003,197,1271,292.67,$249.09 ,WN,0.23026750590086548,222,0.0735640824136398,0.07356408241363983
225,"Houston, TX","Phoenix, AZ","['(29.760803', ' -95.369506)']","['(30.406931', ' -87.217578)']",1020,227.95,$221.80 ,AA,0.22348039215686274,1098,1020,237.61,$230.68 ,AA,0.23295098039215686,1041,-0.04065485459366189,-0.040654854593661985
226,"Albuquerque, NM","Las Vegas, NV","['(35.084248', ' -106.649241)']","['(36.169202', ' -115.140597)']",486,174.36,$70.66 ,G4,0.35876543209876544,422,486,177.49,$75.82 ,G4,0.36520576131687243,455,-0.01763479632655362,-0.01763479632655358
227,"Charlotte, NC","Memphis, TN","['(35.222936', ' -80.840161)']","['(35.143378', ' -90.052136)']",511,269.73,$250.17 ,DL,0.5278473581213308,235,511,269.69,$237.05 ,DL,0.5277690802348337,207,0.0001483184396900018,0.00014831843969009034
228,"Indianapolis, IN","Las Vegas, NV","['(39.76845', ' -86.156212)']","['(36.169202', ' -115.140597)']",1590,212.87,$111.27 ,G4,0.13388050314465408,744,1590,202.13,$97.85 ,G4,0.12712578616352202,744,0.053134121604907596,0.053134121604907776
229,"Boston, MA (Metropolitan Area)","Seattle, WA","['(42.358894', ' -71.056742)']","['(47.603229', ' -122.33028)']",2496,285.47,$261.03 ,B6,0.1143709935897436,1512,2496,263.8,$242.72 ,B6,0.10568910256410256,1473,0.08214556482183488,0.08214556482183479
230,"Chicago, IL","Dayton, OH","['(41.775002', ' -87.696388)']","['(39.760982', ' -84.192203)']",240,153.41,$134.99 ,WN,0.6392083333333333,248,240,160.32,$126.06 ,WN,0.6679999999999999,260,-0.043101297405189615,-0.0431012974051896
231,"Tucson, AZ","Washington, DC (Metropolitan Area)","['(35.167852', ' -103.726151)']","['(38.892062', ' -77.019912)']",1976,330.46,$288.06 ,WN,0.16723684210526316,345,1976,295.75,$260.68 ,WN,0.14967105263157895,378,0.1173626373626373,0.11736263736263729
232,"Cleveland, OH (Metropolitan Area)","New York City, NY (Metropolitan Area)","['(41.505546', ' -81.6915)']","['(40.123164', ' -75.333718)']",459,280.38,$224.76 ,AA,0.6108496732026144,1157,459,269.34,$230.06 ,AA,0.586797385620915,1285,0.04098908442860338,0.040989084428603335
233,"Norfolk, VA (Metropolitan Area)","Orlando, FL","['(36.846164', ' -76.285913)']","['(28.538331', ' -81.378879)']",662,204.55,$191.03 ,WN,0.30898791540785503,354,662,170.58,$156.81 ,WN,0.2576737160120846,400,0.19914409661156066,0.19914409661156054
234,"Chicago, IL","Kansas City, MO","['(41.775002', ' -87.696388)']","['(39.099792', ' -94.578559)']",405,193.5,$188.90 ,UA,0.4777777777777778,1513,405,176.2,$167.33 ,UA,0.4350617283950617,1576,0.09818388195232707,0.09818388195232697
235,"Chicago, IL","Los Angeles, CA (Metropolitan Area)","['(41.775002', ' -87.696388)']","['(34.052238', ' -118.243344)']",1751,213.97,$207.89 ,WN,0.12219874357509994,7636,1750,213.5,$203.45 ,WN,0.122,7139,0.001629045697540501,0.002201405152224819
236,"Miami, FL (Metropolitan Area)","Salt Lake City, UT","['(44.977479', ' -93.264346)']","['(40.758478', ' -111.888142)']",2088,282.76,$234.38 ,UA,0.1354214559386973,369,2088,263.26,$214.88 ,UA,0.1260823754789272,379,0.07407126035098378,0.07407126035098383
237,"Dallas/Fort Worth, TX","Salt Lake City, UT","['(40.11086', ' -77.035636)']","['(40.758478', ' -111.888142)']",999,193.38,$181.70 ,DL,0.19357357357357358,1026,999,197.86,$191.18 ,DL,0.19805805805805807,927,-0.022642272313757233,-0.022642272313757292
238,"Los Angeles, CA (Metropolitan Area)","Memphis, TN","['(34.052238', ' -118.243344)']","['(35.143378', ' -90.052136)']",1619,264.58,$234.63 ,WN,0.16342186534898084,514,1619,233.03,$194.03 ,WN,0.14393452748610253,539,0.13539029309530962,0.13539029309530953
239,"Medford, OR","Portland, OR","['(42.064492', ' -87.93678)']","['(45.516018', ' -122.681425)']",222,142.39,$142.50 ,AS,0.6413963963963963,205,222,138.09,$138.09 ,AS,0.6220270270270271,201,0.031139112173220223,0.03113911217322024
240,"Charleston, SC","Los Angeles, CA (Metropolitan Area)","['(32.77647', ' -79.931027)']","['(34.052238', ' -118.243344)']",2206,353.9,$315.24 ,WN,0.16042611060743425,252,2205,310.05,$246.46 ,WN,0.14061224489795918,267,0.1409113816784149,0.1414288018061602
241,"Columbus, OH","Dallas/Fort Worth, TX","['(39.962649', ' -82.996216)']","['(40.11086', ' -77.035636)']",926,229.01,$203.13 ,WN,0.2473110151187905,644,926,208.99,$177.28 ,WN,0.22569114470842333,629,0.09579405713192019,0.0957940571319201
242,"Chicago, IL","Norfolk, VA (Metropolitan Area)","['(41.775002', ' -87.696388)']","['(36.846164', ' -76.285913)']",717,200.11,$190.53 ,UA,0.2790934449093445,489,717,211.94,$197.89 ,UA,0.2955927475592747,450,-0.05581768425025934,-0.05581768425025943
243,"Las Vegas, NV","Mission/McAllen/Edinburg, TX","['(36.169202', ' -115.140597)']","['(43.153621', ' -93.201042)']",1210,128.74,$114.30 ,G4,0.10639669421487605,254,1210,126.45,$112.21 ,G4,0.10450413223140496,299,0.018109924871490792,0.018109924871490757
244,"Boston, MA (Metropolitan Area)","Washington, DC (Metropolitan Area)","['(42.358894', ' -71.056742)']","['(38.892062', ' -77.019912)']",418,157.83,$137.45 ,WN,0.3775837320574163,8228,418,159.27,$144.75 ,WN,0.38102870813397133,8118,-0.009041250706347722,-0.009041250706347696
245,"New York City, NY (Metropolitan Area)","Norfolk, VA (Metropolitan Area)","['(40.123164', ' -75.333718)']","['(36.846164', ' -76.285913)']",337,270.59,$251.18 ,AA,0.8029376854599406,394,337,259.2,$234.15 ,AA,0.7691394658753709,385,0.04394290123456792,0.04394290123456785
246,"Birmingham, AL","New York City, NY (Metropolitan Area)","['(33.522859', ' -86.807705)']","['(40.123164', ' -75.333718)']",902,292.22,$271.91 ,AA,0.3239689578713969,355,902,271.61,$241.28 ,AA,0.301119733924612,377,0.07588085858399904,0.07588085858399916
247,"Columbus, OH","Orlando, FL","['(39.962649', ' -82.996216)']","['(28.538331', ' -81.378879)']",802,149.58,$88.64 ,F9,0.18650872817955114,1025,802,156.45,$155.70 ,F9,0.19507481296758103,908,-0.043911792905081334,-0.04391179290508135
248,"Albany, NY","Charlotte, NC","['(42.651242', ' -73.755418)']","['(35.222936', ' -80.840161)']",646,251.76,$226.77 ,WN,0.38972136222910214,186,646,223.78,$190.70 ,WN,0.3464086687306502,190,0.12503351505943322,0.12503351505943333
249,"Nashville, TN","San Antonio, TX","['(36.166687', ' -86.779932)']","['(29.425173', ' -98.494599)']",822,237.86,$232.64 ,WN,0.289367396593674,318,822,231.7,$222.82 ,WN,0.2818734793187348,293,0.026586102719033326,0.02658610271903334
250,"Los Angeles, CA (Metropolitan Area)","Tulsa, OK","['(34.052238', ' -118.243344)']","['(61.096484', ' -160.967455)']",1283,239.65,$109.55 ,G4,0.18678877630553392,371,1283,261.28,$252.08 ,G4,0.2036477007014809,315,-0.08278475199020192,-0.08278475199020197
251,"Dallas/Fort Worth, TX","Fort Myers, FL","['(40.11086', ' -77.035636)']","['(40.253979', ' -103.801495)']",1017,269.0,$261.26 ,UA,0.26450344149459193,270,1017,237.16,$223.55 ,UA,0.23319567354965584,268,0.13425535503457584,0.13425535503457584
252,"Indianapolis, IN","New York City, NY (Metropolitan Area)","['(39.76845', ' -86.156212)']","['(40.123164', ' -75.333718)']",701,188.6,$133.83 ,WN,0.26904422253922966,1433,701,172.76,$119.41 ,WN,0.24644793152639086,1612,0.09168789071544341,0.09168789071544342
253,"Detroit, MI","Tampa, FL (Metropolitan Area)","['(42.332916', ' -83.047853)']","['(37.8606', ' -78.804199)']",983,188.77,$115.63 ,NK,0.19203458799593084,1251,983,168.07,$107.14 ,NK,0.17097660223804678,1358,0.12316296781103132,0.12316296781103123
254,"Chicago, IL","Houston, TX","['(41.775002', ' -87.696388)']","['(29.760803', ' -95.369506)']",945,187.2,$164.43 ,WN,0.19809523809523807,3007,945,201.03,$87.60 ,WN,0.21273015873015874,2906,-0.06879570213401,-0.06879570213400991
255,"Houston, TX","Washington, DC (Metropolitan Area)","['(29.760803', ' -95.369506)']","['(38.892062', ' -77.019912)']",1246,243.45,$208.01 ,WN,0.1953852327447833,2744,1246,236.24,$211.96 ,WN,0.18959871589085073,2788,0.030519810362343372,0.030519810362343292
256,"Phoenix, AZ","Portland, OR","['(30.406931', ' -87.217578)']","['(45.516018', ' -122.681425)']",1009,157.74,$157.92 ,AS,0.15633300297324085,1629,1009,172.15,$167.51 ,AS,0.17061446977205155,1448,-0.08370607028753993,-0.08370607028753992
257,"Indianapolis, IN","Minneapolis/St. Paul, MN","['(39.76845', ' -86.156212)']","['(44.977479', ' -93.264346)']",503,299.52,$253.54 ,AA,0.5954671968190854,386,503,294.28,$204.31 ,AA,0.5850497017892644,378,0.017806170993611457,0.01780617099361156
258,"Hartford, CT","Raleigh/Durham, NC","['(41.765775', ' -72.673356)']","['(42.673348', ' -72.179683)']",532,210.67,$199.69 ,UA,0.39599624060150374,235,532,193.2,$179.16 ,UA,0.36315789473684207,218,0.09042443064182198,0.09042443064182194
259,"Seattle, WA","St. Louis, MO","['(47.603229', ' -122.33028)']","['(38.630276', ' -90.200309)']",1709,259.61,$248.74 ,AS,0.15190754827384437,606,1709,235.98,$230.86 ,AS,0.13808074897600936,626,0.10013560471226388,0.10013560471226386
260,"San Antonio, TX","Washington, DC (Metropolitan Area)","['(29.425173', ' -98.494599)']","['(38.892062', ' -77.019912)']",1407,288.3,$261.94 ,WN,0.2049040511727079,1124,1407,275.94,$244.45 ,WN,0.19611940298507463,1129,0.04479234616220924,0.04479234616220923
261,"Minneapolis/St. Paul, MN","Salt Lake City, UT","['(44.977479', ' -93.264346)']","['(40.758478', ' -111.888142)']",991,286.67,$142.89 ,F9,0.2892734611503532,434,991,311.4,$132.25 ,F9,0.3142280524722502,382,-0.07941554271034028,-0.07941554271034028
262,"Jackson/Vicksburg, MS","Washington, DC (Metropolitan Area)","['(30.325968', ' -81.65676)']","['(38.892062', ' -77.019912)']",888,286.66,$287.73 ,AA,0.3228153153153153,190,888,242.54,$238.41 ,AA,0.27313063063063064,218,0.18190813886369256,0.18190813886369273
263,"Pittsburgh, PA","San Diego, CA","['(40.442169', ' -79.994945)']","['(32.71576', ' -117.163817)']",2106,296.17,$270.95 ,WN,0.1406315289648623,224,2106,301.75,$275.15 ,WN,0.14328110161443494,204,-0.01849212924606452,-0.01849212924606457
264,"Charlotte, NC","Sacramento, CA","['(35.222936', ' -80.840161)']","['(38.582087', ' -121.50012)']",2244,305.95,$270.82 ,DL,0.13634135472370765,189,2244,301.22,$256.70 ,DL,0.13423351158645278,180,0.015702808578447424,0.015702808578447518
265,"Fort Myers, FL","Washington, DC (Metropolitan Area)","['(40.253979', ' -103.801495)']","['(38.892062', ' -77.019912)']",919,164.9,$155.62 ,WN,0.1794341675734494,1171,919,176.03,$157.69 ,WN,0.19154515778019587,881,-0.06322785888768963,-0.06322785888768957
266,"Orlando, FL","Portland, OR","['(28.538331', ' -81.378879)']","['(45.516018', ' -122.681425)']",2534,251.71,$239.83 ,UA,0.09933307024467246,489,2534,266.47,$249.17 ,UA,0.10515785319652723,413,-0.05539085075242992,-0.055390850752429985
267,"Atlanta, GA (Metropolitan Area)","Nashville, TN","['(33.748547', ' -84.391502)']","['(36.166687', ' -86.779932)']",214,304.22,$304.59 ,DL,1.421588785046729,243,214,307.7,$308.02 ,DL,1.4378504672897197,213,-0.011309717257068554,-0.011309717257068449
268,"Chicago, IL","Little Rock, AR","['(41.775002', ' -87.696388)']","['(34.748745', ' -92.275105)']",552,259.25,$230.72 ,WN,0.4696557971014493,207,552,246.04,$234.76 ,WN,0.4457246376811594,217,0.05369045683628687,0.053690456836286815
269,"Los Angeles, CA (Metropolitan Area)","Pittsburgh, PA","['(34.052238', ' -118.243344)']","['(40.442169', ' -79.994945)']",2136,278.63,$242.31 ,WN,0.13044475655430712,749,2136,290.11,$249.51 ,WN,0.13581928838951313,686,-0.03957119713212237,-0.03957119713212236
270,"San Francisco, CA (Metropolitan Area)","Tucson, AZ","['(37.78008', ' -122.420168)']","['(35.167852', ' -103.726151)']",751,209.34,$186.29 ,WN,0.27874833555259654,380,751,237.27,$217.66 ,WN,0.31593874833555263,367,-0.11771399671260599,-0.11771399671260592
271,"Kansas City, MO","Miami, FL (Metropolitan Area)","['(39.099792', ' -94.578559)']","['(44.977479', ' -93.264346)']",1251,223.86,$217.29 ,WN,0.17894484412470024,503,1251,222.5,$218.07 ,WN,0.17785771382893686,492,0.006112359550561732,0.0061123595505618595
272,"Atlanta, GA (Metropolitan Area)","New Orleans, LA","['(33.748547', ' -84.391502)']","['(29.950621', ' -90.074948)']",425,151.68,$125.90 ,WN,0.35689411764705886,1070,425,165.26,$132.04 ,WN,0.3888470588235294,920,-0.08217354471741481,-0.08217354471741489
273,"Milwaukee, WI","Orlando, FL","['(43.041072', ' -87.909421)']","['(28.538331', ' -81.378879)']",1066,153.5,$90.90 ,F9,0.14399624765478425,1096,1066,142.49,$146.11 ,F9,0.13366791744840525,1092,0.07726858025124575,0.07726858025124564
274,"Austin, TX","Sacramento, CA","['(30.264979', ' -97.746598)']","['(38.582087', ' -121.50012)']",1481,271.21,$233.34 ,DL,0.18312626603646184,212,1481,263.55,$222.01 ,DL,0.17795408507765023,217,0.029064693606526266,0.029064693606526155
275,"Los Angeles, CA (Metropolitan Area)","San Antonio, TX","['(34.052238', ' -118.243344)']","['(29.425173', ' -98.494599)']",1211,238.04,$233.86 ,DL,0.19656482246077622,978,1211,217.35,$199.79 ,DL,0.17947976878612718,1088,0.0951920864964343,0.09519208649643432
276,"Milwaukee, WI","Minneapolis/St. Paul, MN","['(43.041072', ' -87.909421)']","['(44.977479', ' -93.264346)']",297,194.39,$152.05 ,WN,0.6545117845117845,433,297,155.05,$108.58 ,WN,0.5220538720538721,513,0.2537246049661398,0.2537246049661398
277,"Buffalo, NY","Charlotte, NC","['(39.945422', ' -78.64671)']","['(35.222936', ' -80.840161)']",546,235.97,$211.24 ,DL,0.4321794871794872,214,546,226.65,$166.62 ,DL,0.41510989010989013,231,0.04112067063754681,0.04112067063754685
278,"Phoenix, AZ","San Diego, CA","['(30.406931', ' -87.217578)']","['(32.71576', ' -117.163817)']",304,168.41,$163.15 ,AA,0.5539802631578947,1445,304,164.34,$162.52 ,AA,0.5405921052631579,1383,0.024765729585006606,0.02476572958500665
279,"Memphis, TN","Orlando, FL","['(35.143378', ' -90.052136)']","['(28.538331', ' -81.378879)']",684,178.67,$154.93 ,WN,0.2612134502923976,473,684,177.35,$159.34 ,WN,0.2592836257309941,408,0.0074429095009867306,0.0074429095009867115
280,"Detroit, MI","Fort Myers, FL","['(42.332916', ' -83.047853)']","['(40.253979', ' -103.801495)']",1084,198.59,$118.62 ,NK,0.18320110701107012,996,1084,184.71,$123.90 ,NK,0.17039667896678967,952,0.07514482161225708,0.07514482161225702
281,"Rochester, NY","Washington, DC (Metropolitan Area)","['(43.155708', ' -77.612547)']","['(38.892062', ' -77.019912)']",296,184.24,$168.15 ,AA,0.6224324324324325,200,296,170.75,$159.38 ,AA,0.5768581081081081,322,0.07900439238653015,0.07900439238653006
282,"Palm Springs, CA","San Francisco, CA (Metropolitan Area)","['(33.830302', ' -116.546843)']","['(37.78008', ' -122.420168)']",421,184.92,$164.19 ,AS,0.4392399049881235,569,421,166.07,$148.63 ,AS,0.39446555819477436,640,0.11350635274281919,0.11350635274281927
283,"Cleveland, OH (Metropolitan Area)","Minneapolis/St. Paul, MN","['(41.505546', ' -81.6915)']","['(44.977479', ' -93.264346)']",657,266.84,$82.66 ,F9,0.4061491628614916,390,657,290.07,$223.02 ,F9,0.4415068493150685,379,-0.08008411762677982,-0.0800841176267798
284,"Jacksonville, FL","Las Vegas, NV","['(30.325968', ' -81.65676)']","['(36.169202', ' -115.140597)']",1965,281.08,$237.31 ,WN,0.14304325699745546,220,1965,267.6,$238.81 ,WN,0.13618320610687024,238,0.050373692077727815,0.0503736920777278
285,"Chicago, IL","Hartford, CT","['(41.775002', ' -87.696388)']","['(41.765775', ' -72.673356)']",783,271.97,$256.27 ,WN,0.34734355044699877,739,783,265.79,$241.02 ,WN,0.3394508301404853,772,0.02325143910606128,0.0232514391060612
286,"Seattle, WA","Tucson, AZ","['(47.603229', ' -122.33028)']","['(35.167852', ' -103.726151)']",1216,198.41,$198.53 ,AS,0.16316611842105264,353,1216,194.86,$190.74 ,AS,0.1602467105263158,350,0.018218207944164934,0.01821820794416495
287,"Cleveland, OH (Metropolitan Area)","Miami, FL (Metropolitan Area)","['(41.505546', ' -81.6915)']","['(44.977479', ' -93.264346)']",1080,145.04,$92.70 ,NK,0.1342962962962963,997,1080,144.78,$99.80 ,NK,0.13405555555555557,929,0.001795828153059778,0.0017958281530597521
288,"Orlando, FL","Raleigh/Durham, NC","['(28.538331', ' -81.378879)']","['(42.673348', ' -72.179683)']",534,158.38,$143.65 ,WN,0.2965917602996255,917,534,148.59,$137.69 ,WN,0.27825842696629216,809,0.0658859950198532,0.06588599501985323
289,"Louisville, KY","Orlando, FL","['(38.256078', ' -85.751569)']","['(28.538331', ' -81.378879)']",719,201.38,$186.02 ,WN,0.2800834492350487,359,719,171.49,$166.39 ,WN,0.23851182197496523,429,0.17429587731063037,0.17429587731063026
290,"Cincinnati, OH","Phoenix, AZ","['(39.104427', ' -84.513808)']","['(30.406931', ' -87.217578)']",1569,149.72,$94.31 ,G4,0.09542383683875079,468,1569,180.48,$100.97 ,G4,0.11502868068833651,346,-0.17043439716312053,-0.17043439716312053
291,"Austin, TX","Detroit, MI","['(30.264979', ' -97.746598)']","['(42.332916', ' -83.047853)']",1149,269.09,$220.95 ,WN,0.2341949521322889,378,1149,293.46,$216.91 ,WN,0.2554046997389034,335,-0.08304368568118325,-0.08304368568118314
292,"New York City, NY (Metropolitan Area)","Rochester, NY","['(40.123164', ' -75.333718)']","['(43.155708', ' -77.612547)']",285,170.3,$159.01 ,B6,0.5975438596491228,641,285,162.49,$147.02 ,B6,0.5701403508771931,704,0.04806449627669384,0.048064496276693965
293,"Boston, MA (Metropolitan Area)","Norfolk, VA (Metropolitan Area)","['(42.358894', ' -71.056742)']","['(36.846164', ' -76.285913)']",487,224.7,$211.02 ,UA,0.4613963039014373,329,487,216.57,$194.58 ,UA,0.4447022587268994,333,0.03753982546058998,0.03753982546059009
294,"New York City, NY (Metropolitan Area)","Richmond, VA","['(40.123164', ' -75.333718)']","['(37.540759', ' -77.433932)']",325,346.09,$332.10 ,AA,1.0648923076923076,417,325,310.55,$274.95 ,AA,0.9555384615384616,495,0.11444211882144568,0.1144421188214457
295,"Atlanta, GA (Metropolitan Area)","Dallas/Fort Worth, TX","['(33.748547', ' -84.391502)']","['(40.11086', ' -77.035636)']",731,172.18,$152.75 ,WN,0.2355403556771546,3406,731,156.07,$139.57 ,WN,0.21350205198358413,3471,0.10322291279554051,0.10322291279554055
296,"Atlanta, GA (Metropolitan Area)","Columbus, OH","['(33.748547', ' -84.391502)']","['(39.962649', ' -82.996216)']",447,185.1,$159.16 ,WN,0.4140939597315436,771,447,180.15,$146.17 ,WN,0.40302013422818794,761,0.027477102414654373,0.02747710241465439
297,"Boston, MA (Metropolitan Area)","Philadelphia, PA","['(42.358894', ' -71.056742)']","['(39.951061', ' -75.16562)']",289,185.52,$169.19 ,B6,0.6419377162629758,2467,289,176.02,$147.82 ,B6,0.6090657439446368,2466,0.05397113964322227,0.05397113964322236
298,"Boston, MA (Metropolitan Area)","Detroit, MI","['(42.358894', ' -71.056742)']","['(42.332916', ' -83.047853)']",632,184.63,$157.57 ,B6,0.2921360759493671,1583,632,185.94,$151.46 ,B6,0.29420886075949365,1438,-0.007045283424760638,-0.007045283424760688
299,"Las Vegas, NV","Seattle, WA","['(36.169202', ' -115.140597)']","['(47.603229', ' -122.33028)']",867,146.86,$146.48 ,AS,0.16938869665513265,3057,867,136.42,$137.59 ,AS,0.15734717416378313,2849,0.0765283682744468,0.07652836827444676
300,"New Orleans, LA","Raleigh/Durham, NC","['(29.950621', ' -90.074948)']","['(42.673348', ' -72.179683)']",779,193.26,$98.69 ,G4,0.24808729139922978,278,779,250.43,$232.75 ,G4,0.32147625160462134,213,-0.2282873457652838,-0.22828734576528376
301,"Boston, MA (Metropolitan Area)","Richmond, VA","['(42.358894', ' -71.056742)']","['(37.540759', ' -77.433932)']",487,155.56,$149.40 ,B6,0.3194250513347023,848,487,147.25,$137.75 ,B6,0.30236139630390146,839,0.05643463497453309,0.056434634974533125
302,"Orlando, FL","St. Louis, MO","['(28.538331', ' -81.378879)']","['(38.630276', ' -90.200309)']",882,164.83,$89.34 ,F9,0.18688208616780047,1090,882,173.25,$94.47 ,F9,0.19642857142857142,966,-0.04860028860028849,-0.048600288600288526
303,"Austin, TX","Philadelphia, PA","['(30.264979', ' -97.746598)']","['(39.951061', ' -75.16562)']",1430,236.99,$100.43 ,F9,0.16572727272727272,493,1430,242.19,$114.16 ,F9,0.16936363636363636,481,-0.021470746108427242,-0.02147074610842722
304,"Eugene, OR","San Francisco, CA (Metropolitan Area)","['(37.533089', ' -75.823024)']","['(37.78008', ' -122.420168)']",471,171.82,$75.58 ,G4,0.36479830148619957,247,471,171.57,$71.55 ,G4,0.3642675159235669,245,0.0014571312000932562,0.0014571312000932564
305,"Des Moines, IA","Washington, DC (Metropolitan Area)","['(41.588822', ' -93.620309)']","['(38.892062', ' -77.019912)']",910,256.07,$203.66 ,WN,0.2813956043956044,293,910,238.99,$202.34 ,WN,0.26262637362637364,324,0.0714674254152893,0.07146742541528928
306,"Little Rock, AR","Washington, DC (Metropolitan Area)","['(34.748745', ' -92.275105)']","['(38.892062', ' -77.019912)']",912,286.04,$245.09 ,WN,0.313640350877193,251,912,237.48,$223.83 ,WN,0.26039473684210523,271,0.2044803772949303,0.20448037729493024
307,"Hartford, CT","Miami, FL (Metropolitan Area)","['(41.765775', ' -72.673356)']","['(44.977479', ' -93.264346)']",1194,175.3,$167.52 ,WN,0.1468174204355109,987,1194,172.1,$158.64 ,WN,0.14413735343383585,1012,0.01859384079023834,0.018593840790238333
308,"Philadelphia, PA","Sacramento, CA","['(39.951061', ' -75.16562)']","['(38.582087', ' -121.50012)']",2458,343.8,$323.63 ,UA,0.13986981285598046,200,2458,276.67,$260.63 ,UA,0.11255899104963385,242,0.2426356308960132,0.24263563089601328
309,"Chicago, IL","Raleigh/Durham, NC","['(41.775002', ' -87.696388)']","['(42.673348', ' -72.179683)']",646,210.39,$188.10 ,WN,0.32568111455108356,1319,646,164.36,$151.27 ,WN,0.25442724458204335,1425,0.28005597468970533,0.28005597468970533
310,"Chicago, IL","Greenville/Spartanburg, SC","['(41.775002', ' -87.696388)']","['(44.513288', ' -88.013256)']",577,247.19,$200.88 ,WN,0.4284055459272097,207,577,220.26,$194.99 ,WN,0.3817331022530329,259,0.12226459638608918,0.1222645963860892
311,"New York City, NY (Metropolitan Area)","Portland, OR","['(40.123164', ' -75.333718)']","['(45.516018', ' -122.681425)']",2482,307.42,$252.36 ,B6,0.12385979049153908,1279,2482,302.06,$244.25 ,B6,0.12170024174053183,1217,0.017744818910150312,0.017744818910150346
312,"Austin, TX","Tampa, FL (Metropolitan Area)","['(30.264979', ' -97.746598)']","['(37.8606', ' -78.804199)']",928,225.83,$73.26 ,G4,0.2433512931034483,322,928,235.84,$225.22 ,G4,0.2541379310344828,291,-0.04244402985074628,-0.04244402985074623
313,"Orlando, FL","Pittsburgh, PA","['(28.538331', ' -81.378879)']","['(40.442169', ' -79.994945)']",834,152.6,$82.00 ,F9,0.1829736211031175,1294,834,146.5,$72.66 ,F9,0.17565947242206234,1201,0.04163822525597266,0.04163822525597266
314,"Albuquerque, NM","New York City, NY (Metropolitan Area)","['(35.084248', ' -106.649241)']","['(40.123164', ' -75.333718)']",1861,248.08,$211.92 ,B6,0.13330467490596454,528,1861,241.32,$191.27 ,B6,0.12967221923696937,502,0.02801259738107084,0.02801259738107086
315,"Hartford, CT","San Diego, CA","['(41.765775', ' -72.673356)']","['(32.71576', ' -117.163817)']",2502,327.88,$299.23 ,UA,0.13104716227018384,186,2502,304.72,$289.86 ,UA,0.12179056754596324,189,0.07600420057757928,0.07600420057757931
316,"Las Vegas, NV","Minneapolis/St. Paul, MN","['(36.169202', ' -115.140597)']","['(44.977479', ' -93.264346)']",1299,180.19,$92.30 ,NK,0.13871439568899152,1930,1299,180.28,$98.15 ,NK,0.13878367975365666,1767,-0.0004992234302197313,-0.0004992234302196772
317,"Greenville/Spartanburg, SC","Washington, DC (Metropolitan Area)","['(44.513288', ' -88.013256)']","['(38.892062', ' -77.019912)']",426,205.25,$193.45 ,UA,0.4818075117370892,261,426,198.87,$174.73 ,UA,0.466830985915493,321,0.03208125911399397,0.032081259113994044
318,"Atlanta, GA (Metropolitan Area)","Milwaukee, WI","['(33.748547', ' -84.391502)']","['(43.041072', ' -87.909421)']",669,171.81,$148.91 ,WN,0.25681614349775783,825,669,166.78,$135.82 ,WN,0.24929745889387145,736,0.03015949154574883,0.030159491545748898
319,"Dallas/Fort Worth, TX","Houston, TX","['(40.11086', ' -77.035636)']","['(29.760803', ' -95.369506)']",247,199.3,$198.82 ,WN,0.8068825910931174,2615,247,197.47,$194.58 ,WN,0.7994736842105263,2789,0.00926723046538716,0.009267230465387211
320,"Atlanta, GA (Metropolitan Area)","Louisville, KY","['(33.748547', ' -84.391502)']","['(38.256078', ' -85.751569)']",321,259.63,$258.79 ,DL,0.808816199376947,288,321,256.29,$203.66 ,DL,0.798411214953271,277,0.013032112060556371,0.013032112060556302
321,"Pittsburgh, PA","Washington, DC (Metropolitan Area)","['(40.442169', ' -79.994945)']","['(38.892062', ' -77.019912)']",210,194.28,$183.71 ,WN,0.9251428571428572,360,210,203.11,$174.12 ,WN,0.9671904761904763,383,-0.04347397961695639,-0.043473979616956385
