,city,destination,city_geo,destination_geo,2017_miles,2017_fare,2017_fare_low,carrier_low_2017,2017_cpm,passengers_2017,2016_miles,2016_fare,2016_fare_low,carrier_low_2016,2016_cpm,passengers_2016,cpm_change,fare_change
133,"Cincinnati, OH","Washington, DC (Metropolitan Area)","['(39.104427', ' -84.513808)']","['(38.892062', ' -77.019912)']",430,178.02,$99.12 ,WN,0.41400000000000003,723,430,199.32,$181.90 ,WN,0.4635348837209302,619,-0.10686333534015642,-0.10686333534015645
134,"Jacksonville, FL","New York City, NY (Metropolitan Area)","['(30.325968', ' -81.65676)']","['(40.123164', ' -75.333718)']",869,203.15,$178.38 ,B6,0.23377445339470657,1444,869,180.42,$155.92 ,B6,0.20761795166858457,1769,0.12598381554151433,0.12598381554151436
135,"Jacksonville, FL","Miami, FL (Metropolitan Area)","['(30.325968', ' -81.65676)']","['(44.977479', ' -93.264346)']",335,146.48,$134.71 ,B6,0.43725373134328355,578,335,157.22,$143.03 ,B6,0.4693134328358209,471,-0.068311919603104,-0.068311919603104
136,"New York City, NY (Metropolitan Area)","Seattle, WA","['(40.123164', ' -75.333718)']","['(47.603229', ' -122.33028)']",2448,290.52,$265.53 ,AA,0.11867647058823529,3091,2448,291.44,$272.78 ,AA,0.11905228758169935,2802,-0.003156738951413752,-0.003156738951413725
137,"Orlando, FL","San Francisco, CA (Metropolitan Area)","['(28.538331', ' -81.378879)']","['(37.78008', ' -122.420168)']",2446,262.77,$141.96 ,F9,0.1074284546197874,1701,2446,304.16,$256.07 ,F9,0.1243499591169256,1409,-0.13607969489742258,-0.13607969489742255
138,"Dallas/Fort Worth, TX","Washington, DC (Metropolitan Area)","['(40.11086', ' -77.035636)']","['(38.892062', ' -77.019912)']",1217,211.68,$196.44 ,WN,0.17393590797041908,4415,1217,194.38,$169.36 ,WN,0.15972062448644206,4264,0.08900092602119578,0.08900092602119565
139,"Atlanta, GA (Metropolitan Area)","Rochester, NY","['(33.748547', ' -84.391502)']","['(43.155708', ' -77.612547)']",749,214.07,$197.82 ,WN,0.28580774365821093,263,749,250.72,$193.59 ,WN,0.334739652870494,224,-0.14617900446713475,-0.14617900446713467
140,"Cincinnati, OH","Punta Gorda, FL","['(39.104427', ' -84.513808)']","['(40.881194', ' -88.628678)']",850,87.71,$87.71 ,G4,0.10318823529411764,264,850,84.59,$84.59 ,G4,0.09951764705882353,242,0.03688379241045029,0.03688379241045029
141,"Boston, MA (Metropolitan Area)","Indianapolis, IN","['(42.358894', ' -71.056742)']","['(39.76845', ' -86.156212)']",818,215.44,$178.99 ,WN,0.2633740831295843,734,818,189.56,$153.14 ,WN,0.2317359413202934,782,0.1365266933952309,0.13652669339523105
142,"Austin, TX","Raleigh/Durham, NC","['(30.264979', ' -97.746598)']","['(42.673348', ' -72.179683)']",1162,257.94,$236.75 ,DL,0.22197934595524957,278,1162,264.41,$241.46 ,DL,0.22754733218588644,296,-0.024469573768011947,-0.024469573768011902
143,"Atlanta, GA (Metropolitan Area)","Norfolk, VA (Metropolitan Area)","['(33.748547', ' -84.391502)']","['(36.846164', ' -76.285913)']",516,242.43,$181.86 ,UA,0.46982558139534886,424,516,205.13,$168.20 ,UA,0.39753875968992247,467,0.18183590893579687,0.18183590893579687
144,"Atlanta, GA (Metropolitan Area)","Cleveland, OH (Metropolitan Area)","['(33.748547', ' -84.391502)']","['(41.505546', ' -81.6915)']",554,146.56,$118.72 ,WN,0.26454873646209387,1177,554,161.54,$110.83 ,WN,0.29158844765342956,1147,-0.09273245016714111,-0.09273245016714121
145,"Nashville, TN","Washington, DC (Metropolitan Area)","['(36.166687', ' -86.779932)']","['(38.892062', ' -77.019912)']",587,228.19,$218.52 ,WN,0.38873935264054515,1566,587,220.11,$212.40 ,WN,0.37497444633730836,1504,0.036708918268138636,0.03670891826813858
146,"Miami, FL (Metropolitan Area)","Orlando, FL","['(44.977479', ' -93.264346)']","['(28.538331', ' -81.378879)']",192,149.99,$91.03 ,DL,0.7811979166666667,489,192,148.21,$104.57 ,DL,0.7719270833333334,414,0.0120099858309156,0.0120099858309156
147,"Las Vegas, NV","Norfolk, VA (Metropolitan Area)","['(36.169202', ' -115.140597)']","['(36.846164', ' -76.285913)']",2154,302.57,$281.08 ,UA,0.14046889507892293,223,2154,302.49,$277.41 ,UA,0.14043175487465182,203,0.00026447155277857124,0.0002644715527785516
148,"Boston, MA (Metropolitan Area)","Buffalo, NY","['(42.358894', ' -71.056742)']","['(39.945422', ' -78.64671)']",395,153.9,$147.94 ,B6,0.38962025316455695,596,395,148.59,$138.68 ,B6,0.3761772151898734,583,0.035735917625681415,0.03573591762568142
149,"Atlanta, GA (Metropolitan Area)","Indianapolis, IN","['(33.748547', ' -84.391502)']","['(39.76845', ' -86.156212)']",432,191.11,$161.49 ,WN,0.4423842592592593,738,432,184.61,$138.55 ,WN,0.427337962962963,754,0.035209360273007924,0.03520936027300796
150,"Denver, CO","Oklahoma City, OK","['(39.738453', ' -104.984853)']","['(35.468494', ' -97.521264)']",495,179.97,$177.64 ,WN,0.36357575757575755,462,495,163.4,$159.18 ,WN,0.3301010101010101,494,0.10140758873928996,0.10140758873929004
151,"New Orleans, LA","St. Louis, MO","['(29.950621', ' -90.074948)']","['(38.630276', ' -90.200309)']",604,242.69,$238.26 ,WN,0.4018046357615894,280,604,229.45,$223.67 ,WN,0.3798841059602649,275,0.05770320331226854,0.05770320331226851
152,"Atlanta, GA (Metropolitan Area)","Austin, TX","['(33.748547', ' -84.391502)']","['(30.264979', ' -97.746598)']",813,200.49,$189.12 ,WN,0.24660516605166052,885,813,209.29,$81.47 ,WN,0.2574292742927429,925,-0.04204692054087627,-0.04204692054087621
153,"New York City, NY (Metropolitan Area)","San Antonio, TX","['(40.123164', ' -75.333718)']","['(29.425173', ' -98.494599)']",1624,282.12,$243.58 ,WN,0.1737192118226601,853,1624,268.34,$224.87 ,WN,0.16523399014778323,897,0.05135276142207658,0.051352761422076586
154,"Des Moines, IA","Phoenix, AZ","['(41.588822', ' -93.620309)']","['(30.406931', ' -87.217578)']",1150,183.79,$91.34 ,G4,0.15981739130434783,339,1150,178.07,$86.74 ,G4,0.15484347826086955,365,0.03212219913517164,0.03212219913517156
155,"Charleston, SC","San Francisco, CA (Metropolitan Area)","['(32.77647', ' -79.931027)']","['(37.78008', ' -122.420168)']",2396,349.81,$319.07 ,WN,0.1459974958263773,191,2396,297.75,$244.00 ,WN,0.12426961602671119,226,0.17484466834592785,0.1748446683459278
156,"Chicago, IL","Orlando, FL","['(41.775002', ' -87.696388)']","['(28.538331', ' -81.378879)']",1005,149.75,$148.95 ,WN,0.1490049751243781,4695,1005,147.73,$146.57 ,WN,0.14699502487562188,4552,0.013673593718269827,0.013673593718269888
